SalePrice,LotFrontage,LotArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,MiscVal
208500,65.0,8450,706.0,150.0,856.0,854,1710,1.0,2,1,3,1,0,2.0,0,61,0,0,0,0
181500,80.0,9600,978.0,284.0,1262.0,0,1262,0.0,2,0,3,1,1,2.0,298,0,0,0,0,0
223500,68.0,11250,486.0,434.0,920.0,866,1786,1.0,2,1,3,1,1,2.0,0,42,0,0,0,0
140000,60.0,9550,216.0,540.0,756.0,756,1717,1.0,1,0,3,1,1,3.0,0,35,272,0,0,0
250000,84.0,14260,655.0,490.0,1145.0,1053,2198,1.0,2,1,4,1,1,3.0,192,84,0,0,0,0
143000,85.0,14115,732.0,64.0,796.0,566,1362,1.0,1,1,1,1,0,2.0,40,30,0,0,0,700
307000,75.0,10084,1369.0,317.0,1686.0,0,1694,1.0,2,0,3,1,1,2.0,255,57,0,0,0,0
200000,70.04995836802665,10382,859.0,216.0,1107.0,983,2090,1.0,2,1,3,1,2,2.0,235,204,228,0,0,350
129900,51.0,6120,0.0,952.0,952.0,752,1774,0.0,2,0,2,2,2,2.0,90,0,205,0,0,0
118000,50.0,7420,851.0,140.0,991.0,0,1077,1.0,1,0,2,2,2,1.0,0,4,0,0,0,0
129500,70.0,11200,906.0,134.0,1040.0,0,1040,1.0,1,0,3,1,0,1.0,0,0,0,0,0,0
345000,85.0,11924,998.0,177.0,1175.0,1142,2324,1.0,3,0,4,1,2,3.0,147,21,0,0,0,0
144000,70.04995836802665,12968,737.0,175.0,912.0,0,912,1.0,1,0,2,1,0,1.0,140,0,0,176,0,0
279500,91.0,10652,0.0,1494.0,1494.0,0,1494,0.0,2,0,3,1,1,3.0,160,33,0,0,0,0
157000,70.04995836802665,10920,733.0,520.0,1253.0,0,1253,1.0,1,1,2,1,1,1.0,0,213,176,0,0,0
132000,51.0,6120,0.0,832.0,832.0,0,854,0.0,1,0,2,1,0,2.0,48,112,0,0,0,0
149000,70.04995836802665,11241,578.0,426.0,1004.0,0,1004,1.0,1,0,2,1,1,2.0,0,0,0,0,0,700
90000,72.0,10791,0.0,0.0,0.0,0,1296,0.0,2,0,2,2,0,2.0,0,0,0,0,0,500
159000,66.0,13695,646.0,468.0,1114.0,0,1114,1.0,1,1,3,1,0,2.0,0,102,0,0,0,0
139000,70.0,7560,504.0,525.0,1029.0,0,1339,0.0,1,0,3,1,0,1.0,0,0,0,0,0,0
325300,101.0,14215,0.0,1158.0,1158.0,1218,2376,0.0,3,1,4,1,1,3.0,240,154,0,0,0,0
139400,57.0,7449,0.0,637.0,637.0,0,1108,0.0,1,0,3,1,1,1.0,0,0,205,0,0,0
230000,75.0,9742,0.0,1777.0,1777.0,0,1795,0.0,2,0,3,1,1,2.0,171,159,0,0,0,0
129900,44.0,4224,840.0,200.0,1040.0,0,1060,1.0,1,0,3,1,1,2.0,100,110,0,0,0,0
154000,70.04995836802665,8246,188.0,204.0,1060.0,0,1060,1.0,1,0,3,1,1,1.0,406,90,0,0,0,0
256300,110.0,14230,0.0,1566.0,1566.0,0,1600,0.0,2,0,3,1,1,3.0,0,56,0,0,0,0
134800,60.0,7200,234.0,180.0,900.0,0,900,0.0,1,0,3,1,0,2.0,222,32,0,0,0,0
306000,98.0,11478,1218.0,486.0,1704.0,0,1704,1.0,2,0,3,1,1,3.0,0,50,0,0,0,0
207500,47.0,16321,1277.0,207.0,1484.0,0,1600,1.0,1,0,2,1,2,1.0,288,258,0,0,0,0
68500,60.0,6324,0.0,520.0,520.0,0,520,0.0,1,0,1,1,0,1.0,49,0,87,0,0,0
40000,50.0,8500,0.0,649.0,649.0,668,1317,0.0,1,0,3,1,0,1.0,0,54,172,0,0,0
149350,70.04995836802665,8544,0.0,1228.0,1228.0,0,1228,0.0,1,1,3,1,0,1.0,0,65,0,0,0,0
179900,85.0,11049,0.0,1234.0,1234.0,0,1234,0.0,2,0,3,1,0,2.0,0,30,0,0,0,0
165500,70.0,10552,1018.0,380.0,1398.0,0,1700,0.0,1,1,4,1,1,2.0,0,38,0,0,0,0
